Reckitt to check	TRANSPOREON ID	Ticontract ID	Name	CreditorNumber_BillingDetail	VAT	CountryId	Street_1	Street_2	Zip	Location	CarrierStatus
VAT Nr wrong	308952	123195	ID LOGISTICS POLSKA S.A.	308952	5252425204	PL	Al. Roździeńskiego 91	NULL	40-203	Katowice	active
VAT Nr missing	229071	124903	GONDRAND	229071	NULL	FR	13 RUE CURIE	BP 71339	68013	COLMAR CEDEX	active
VAT Nr missing	247108	126723	Croome LTD	247108	NULL	GB	Cullet Drive	NULL	ME11 5JS	Queenborough, Kent	active
VAT Nr missing	268421	126868	Yusen Logistics UK Ltd	268421	NULL	GB	Grange Park 3, Cheaney Road	NULL	NN4 5FB	Northampton	active
	268784	129847	Codognotto Polska Sp. Z.o.o.	228639	PL7251959614	PL	Kościuszki 80/82	NULL	90-437	Lodz	active
	270644	131987	smet srl	270644	IT00316190651	IT	via tiberio claudio felice 48	NULL	84131	salerno	active
	258486	132929	DHL FREIGHT SPAIN SL	262215	NULL	ES	C/ Rumania, 4	Poligono Industrial de Coslada (PAL)	28221	Madrid	active
	251083	135533	Okura Uluslararası Tasımacılık Iletisim Tic. ve San. A.Ş	251083	6400108811	TR	Talatpaşa Cad., Menekşe sokak no:15/1	NULL	34590	Istanbul	active
VAT Nr missing	246337	139296	Friday Spółka z ograniczoną odpowiedzialnością  Spółka komandytowa	246337	PL0000000000	PL	ul. Ryżowa 33A	NULL	02-495	Warszawa	active
	306978	139793	PCC Intermodal	306978	PL7491968481	PL	ul. Hutnicza 16	NULL	81-061	Gdynia	active
VAT Nr missing	286095	140748	Borchard Lines Ltd	286095	NULL	GB	10 Chiswell Street	NULL	EC1Y4XY	London	active
	337986	141494	Transcurbel-2 S.A.	279394	A58869470	ES	Ronda Guinardó, nº 52	NULL	8025	Barcelona	disabled
	251488	148323	ARBA SP. Z O.O.	251488	PL7611452717	PL	SIERAKOWO 55	NULL	06-300	PRZASNYSZ	active
VAT Nr wrong	260906	148713	Marcotran Polska Sp. z o.o.	260906	9691579265	PL	ul. Poznańska 9	NULL	44-120	Pyskowice	active
	243238	150267	F.lli Dissegna Srl	243238	IT01838650248	IT	Via Ca' Vico 29	NULL	36028	Rossano Veneto VI	active
	266476	150902	GEFCO Ukraine	266476	UA358940826599	UA	110, Zhylyanska	NULL	1032	Kyiv	active
VAT Nr missing	240088	156700	Luis Simoes Logistica Integrada,s.a.	263570	NULL	ES	Parque Empresarial San Fernando, Av. de Castilla	NULL	28830	San Fernando de Henares, Madrid	active
VAT Nr missing	337193	159232	DHL Global Forwarding  Hellas S.A.	241668	NULL	GR	41, Agiou Dimitriou str.	NULL	18546	Pireaus	active
	273352	160532	Scantek LTD Sp. z o. o.	273352	PL1080005217	PL	Braniborska 38/40	NULL	53-680	Wrocław	active
VAT Nr wrong	261289	161174	Charter Sp. z .o.o.	261289	812-17-66-337	PL	Urszulin 8	NULL	05-825	Grodzisk Mazowiecki	active
VAT Nr wrong	258750	162818	MGT Transport Krajowy i Międzynarodowy Grycz Mariusz	258750	7621904664	PL	Monte Cassino 3	NULL	07-200	Wyszków	active
VAT Nr missing	258627	162850	Europejskie Centrum Logistyczne Sp. z o.o.	258627	NULL	PL	Ul. Przemysłowa 13B	NULL	35-105	Rzeszów	active
VAT Nr missing	258650	163586	NORBERT DENTRESSANGLE LOGISTICS POLAND	227422	NULL	PL	SZYSZKOWA 35/37	NULL	02-285	WARSZAWA	active
VAT Nr wrong	258985	163790	NTG Road Sp.zo.o.	258985	5272674838	PL	Chełmżyńska 180	NTG Marki, Katowice, Gdynia, Goleniow	04-464	Warszawa	active
VAT Nr missing	300245	165161	LOCKWOOD HAULAGE LTD.	300245	NULL	GB	RIPLEY ROAD	NULL	DE56 2JR	AMBERGATE	active
VAT Nr missing	262830	171856	LOTOS BALTICA	262830	LT0000000000	LT	Pramones str. 2	NULL	17102	Sacininkai	active
VAT Nr missing	339552	172585	GEFCO (Suisse) SA	237202	NULL	CH	6 Route des Jeunes	Case postale 1767	1211	GENEVE	active
VAT Nr missing	262730	172766	The Overland Transport & Trading Co Ltd	262730	UK0000000000	GB	High Street	Billinghay	LN4 4BU	Lincoln	active
VAT Nr missing	272106	172885	AEROTRANS PIOTR CYRSON	272106	NULL	PL	WRZOSOWA 12	NULL	5101	NOWY DWÓR MAZOWIECKI	active
VAT Nr missing	283525	188054	C.H.ROBINSON PL-Warsaw 2	231183	NL	PL	Aleja Jana Pawła II 29	NULL	00-867	Warszawa	active
VAT Nr missing	230638	192144	Simple Way Sp z o.o sp.k	230638	NULL	PL	Wigury 20	NULL	64-400	Miedzychod	active
	260208	193849	TRANSINTERTOP LTD	260208	HU11475165	HU	TOPART 1	NULL	2851	KÖRNYE	active
VAT Nr missing	334308	194186	XPO LOGISTICS_ Transport Solution FTL PACKED France	242108	NULL	FR	1208, ROUTE DES PIERRELLES - BP 93 - BEAUSEMBLANT	NULL	26240	BEAUSEMBLANT	active
VAT Nr wrong	272915	194472	Hart Logistics sp. z o. o. sp. k.	272915	7792413387	PL	Świerzawska 10	NULL	60-321	Poznań	active
VAT Nr missing	244904	199664	GEFCO France	244904	NULL	FR	Rue des Lilas d Espagne	NULL	92402	Courbevoie Cedex	active
VAT Nr missing	262232	200242	Geis PL Sp. z o.o.	262232	NULL	PL	Pieńki 7	NULL	95-010	Stryków	active
VAT Nr wrong	368458	201550	Locotranssped Sp. Z O.O.	351923	7831682017	PL	Ul.Arcybiskupa A. Baraniaka 88c Bud.B	NULL	61-131	Poznan	active
	265297	202739	Express Logistic Sp.z o.o.	265297	PL1231277587	PL	Dunikowskiego 24	NULL	5501	Piaseczno	active
VAT Nr missing	273747	202968	Aro-Trans Rafał Bartosz Kosztowny Spedycja i Produkcja Mebli	273747	NULL	PL	Ogrody 29/32	NULL	85-870	Bydgoszcz	active
VAT Nr wrong	269078	204759	C&T, a.s.	269078	2022259723	SK	Partizanska cesta 2733/97	NULL	97401	Banska Bystrica	active
VAT Nr missing	292757	207899	KLog Logística SA	292757	PT0000000000	PT	Rua de Castelões Centro, 260 - Fajozes	NULL	4485-065	Vila do Conde	active
	236276	210167	FIRMA TRANSPORTOWO-HANDLOWA EDWARD OSICA	236276	PL8221005023	PL	ZACHODNIA 34	NULL	05-300	MIŃSK MAZOWIECKI	active
	234132	211258	CMA CGM Polska Sp. z o.o.	234132	GB802298146	PL	Polska 13 A	NULL	81-339	Gdynia	active
VAT Nr missing	276509	211366	Sokołów-Logistyka	276509	PL0000000000	PL	Aleja 550-lecia 2	NULL	08-300	Sokołów Podlaski	active
VAT Nr wrong	275463	211525	NOSTA Logistik Sp. z.o.o.	275463	5981632563	PL	Hynka 32	NULL	80-465	Gdańsk	active
	500975	211576	P&O Ferrymasters Ltd.	PandOHU	NL809172811B01	NL	PO Box 1036	NULL	3180 AA	Rozenburg	active
	264024	211975	Orange Logistics Sp. z o.o.	264024	PL6342773808	PL	Roździeńskiego 205	NULL	40-203	Katowice	disabled
	287378	212256	Rosteka UAB	287378	LT100004761617	LT	Darbo str 9	NULL	52102	Kaunas	active
	335085	213578	Ekol Spain	291662	NULL	ES	Pol. Ind. Modula – Coslada II Avda de la Cañada, 62 Nave 1 Modulo	NULL	28820	Madrid	disabled
	293151	213818	PORTMANN LOGISTICS POLSKA SP. Z.O.O	280653	PL 7811775773	PL	DERENIOWA 2 LOK 7	NULL	02-776	WARSZAWA	active
VAT Nr missing	257579	214414	Rail Cargo Logistics - Poland Sp. z o.o.	257579	NULL	PL	Wąwozowa 11	NULL	02-796	Warszawa	active
VAT Nr missing	260701	216534	VGL Road Sp. z o.o.	260701	NULL	PL	Al. Zwycięstwa 237/7	NULL	81-521	Gdynia	active
	227584	216919	GEFCO Deutschland GmbH	227584	DE811122082	DE	Industriestr. 80	NULL	42327	Wuppertal	active
	254299	216920	GEFCO Deutschland GmbH	254299	DE811122082	DE	Märkische Allee 65	NULL	14979	Großbeeren	active
	281136	216937	BRAXSTONE KRAWCZYK, RENE SP. JAWNA	281136	PL1182095709	PL	KOLEJOWA 204A, KIEŁPIN	NULL	05-092	ŁOMIANKI	disabled
VAT Nr missing	272701	217005	F.H.P. MAG-MAR ALICJA MATUSIK	272701	PL8240000989	PL	ALEJA SOLIDARNOŚCI 3	NULL	07-100	WĘGRÓW	active
VAT Nr wrong	332116	219086	Antrans Bis Ireneusz Pacia Sp. k.	332116	6372190299	PL	Wspólna 1c	NULL	32-300	Olkusz	active
	261803	219441	DEVEGA SRL	261803	RO26244980	RO	4, BERZEI	NULL	410151	ORADEA	active
	227422	221272	ND Polska Sp. z o.o.	227422	PL725-00-13-591	PL	Wólczańska 53	NULL	90-608	Łódź	active
VAT Nr wrong	321388	221674	Frigo-trans	321388	8252102129   8250004747	PL	Miedzyrzecka186	NULL	21-400	Łuków	active
	334679	222799	Ekol Logistics Sp. z o.o.	293623	972-125-38-94	PL	Inwestycyjna 8	NULL	41-208	Sosnowiec	disabled
VAT Nr wrong	286782	223354	Speedbergx Sp. z o.o. Spółka komandytowa	286782	7732475775	PL	P.O.W. 17/216	NULL	97-200	Tomaszów Mazowiecki	active
